main_id,ra,dec,plx_value
"V* TZ Ari",30.053984665969573,13.051944602566945,223.7321
"Wolf  424 B",188.32237406094544,9.020926471346112,223.4775
"BD+68   946b",264.1079137894188,68.3391415631039,219.7898
"GJ 687 c",264.1079137894188,68.3391415631039,219.7898
"BD+68   946",264.1079137894188,68.3391415631039,219.7898
"CD-46 11540b",262.16643990898785,-46.89519113774277,219.6463
"CD-46 11540",262.16643990898785,-46.89519113774277,219.6463
"LP  731-58",162.05255937841667,-11.336002970408334,219.3302
"LAWD 37",176.42882056099126,-64.84151721050888,215.6753
"G 208-45",298.4797520974621,44.41504090445889,214.5745
"BD-15  6290d",343.31971909853587,-14.26369557005139,214.038
"BD-15  6290e",343.31971909853587,-14.26369557005139,214.038
"BD-15  6290b",343.31971909853587,-14.26369557005139,214.038
"BD-15  6290c",343.31971909853587,-14.26369557005139,214.038
"BD-15  6290",343.31971909853587,-14.26369557005139,214.038
"G 208-44",298.4770088165204,44.41426154563861,213.1329
"L  143-23",161.08847046423625,-61.20979871122639,206.9698
"GJ 1002 b",1.6799888292112501,-7.538060861407779,206.35
"GJ 1002 c",1.6799888292112501,-7.538060861407779,206.35
"G 158-27",1.6799888292112501,-7.538060861407779,206.35
"DENIS J025503.3-470049",43.76538627452958,-47.014265806654166,205.4251
"HD  88230",152.8422497884929,49.4542363908575,205.3148
"BD+44  2051",166.3690706208596,43.52677415242249,203.8876
"BD+44  2051B",166.37868992532916,43.521634777107494,203.8323
"WISE J163940.83-684738.6",249.920156,-68.794066,202.3
"V* AD Leo",154.90117007551083,19.87000290182528,201.4064
"HD 204961c",323.3915629966566,-49.008999840841106,201.3252
"HD 204961b",323.3915629966566,-49.008999840841106,201.3252
"HD 204961",323.3915629966566,-49.008999840841106,201.3252
"G 158-50",3.8671287410784307,-16.13378620354036,200.53
"CD-44 11909b",264.26527273611407,-44.31921291471444,199.6944
"CD-44 11909c",264.26527273611407,-44.31921291471444,199.6944
"CD-44 11909",264.26527273611407,-44.31921291471444,199.6944
"* omi02 Eri B",63.84081549227875,-7.658112218552501,199.6911
"* omi02 Eri b",63.817998412477074,-7.652869660838334,199.608
"* omi02 Eri",63.817998412477074,-7.652869660838334,199.608
"* omi02 Eri C",63.83973332536918,-7.655748493915556,199.4516
"V* EV Lac",341.70721358761165,44.33399288376722,197.9573
"*  70 Oph",271.363688269495,2.5000988299620857,196.72
"G   9-38B",134.56311721624292,19.762732423316113,196.2619
"2MASS J09393548-2448279",144.897874,-24.807762,196.0
"*  70 Oph B",271.3644289008066,2.498946996844167,195.8563
"*  70 Oph A",271.36353505499625,2.500146281931389,195.5674
"* alf Aql",297.69582729638694,8.868321196436963,194.95
"G   9-38A",134.56281221299125,19.763405033714996,194.1443
"2MASS J15065257+7027247",226.71850231482793,70.4569864677289,193.9412
"G  99-49",90.0146009238775,2.706553494371112,192.0135
"2MASS J08173001-6155158",124.37499533622919,-61.92101628481527,191.8362
"G 254-29",176.9224454840937,78.69116006356583,190.3251
"G   9-38",134.5627574,19.7630445,190.0
"UCAC4 195-119117",235.18140187997787,-51.026656989971386,187.729
"NAME HD 101847BC",175.79911253208334,-39.43232140305555,187.2
"NAME LP 656-38c",75.48927554894667,-6.946215633749168,186.0466
"NAME LP 656-38b",75.48927554894667,-6.946215633749168,186.0466
"LP  656-38",75.48927554894667,-6.946215633749168,186.0466
"2MASS J02540788+0223563",43.53285999999999,2.398985,185.0
"HD 119850",206.43239816550954,14.891519918732497,183.9962
"EGGR 180",67.80238099867749,58.978136863278614,181.273
"G 175-34",67.79797678916874,58.97707329124862,181.2438
"HD 265866b",103.70399193056876,33.268177300671944,179.0629
"HD 265866",103.70399193056876,33.268177300671944,179.0629
"LP  816-60",313.13756918394324,-16.974723133873056,177.9312
"2MASS J11145133-2618235",168.71390499999998,-26.306545,176.8
"WISE J035000.32-565830.2",57.50248537499999,-56.973400805555556,176.4
"WISEP J174124.25+255319.5",265.35258600000003,25.892878,176.0
"LSR J1835+3259",278.90783384444705,32.99814336087223,175.793
"HD  36395",82.8641491050671,-3.6772288901391654,175.3131
"2MASSI J0415195-093506",63.831432,-9.585187000000001,174.34
"Gaia DR3 6305165514134625024",224.9766109720996,-18.53771255437806,174.0253
